Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2018-06-22 20:58:40,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6416031526516989952,D,"","",MEMBER_NETWORK
2012-02-20 23:17:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A906189807,"Tomorrow evening (Tue. 2/21), join me at a great panel at NYU on using game-design principles to encourage more sustainable behavior - ""Green Gamification."" Panelists: Cheryl Heller of SVA, Ben Bixby of MyEnergy and Ellen Honigstock of GBC-Urban Green. Conan Magee of MSCI to moderate. NYU Stern, KMC Commons. 6-8pm. Free. More details: http://evi.sh/u5","","",MEMBER_NETWORK
2011-12-21 19:43:38,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3688074-86233646,"Seeking Co-Founder and GC for an impressive NYC startup""
""""
""It's a really special opportunity at an entrepreneur friend's legal-intensive tech venture; best suited to a mid-level associate or higher, I'd guess. Ping me privately if you are interested or want to recommend someone.""
""""
""Happy holidays to everyone. Hope you're all well.""
""""
""Arthur","","",MEMBER_NETWORK
2011-06-17 15:20:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A432168510,"",https://lnkd.in/mzPKRG,"",MEMBER_NETWORK
2010-10-08 15:36:58,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A137290366,I'm looking to hire a US-based developer to lead an existing team working on a Python/Django-based project.  It's a salaried position and may include equity incentives.  Minimum 5-7 years professional development experience; not looking for contractors or companies. Feel free to distribute this to anyone who might be interested.  I'd also be interested to hear about anyone's recent experience (and success stories!) making development hires.,"","",MEMBER_NETWORK
2010-10-08 08:46:58,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2811354-31755127,"Thoughts on hiring experienced software developers (especially a lead developer)""
""""
""I'm seeking to hire a salaried development lead for an existing team and project.  Any thoughts on great resources for this?  I'm okay with telecommuting (from the US only; prefer East Coast) so it's a pretty broad search.  Wondering about people's experience with job boards, headhunters, etc.  Also, yes, get in touch if you'd like to talk.","","",MEMBER_NETWORK
