Date,Link,Message
2024-04-20 16:58:17,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7179180725877784578%2C7179180727442305026%29,"This is, in essence, the typical problem that strategic product development is meant to solve. The modern PM toolbox asks you to spend more time in problem space, to always ask \"why\" before you try to answer with a \"what.\" Asking \"why\" will lead you to the ultimate questions of which of your customers', and business's, interests you are trying to address. 
If you are being asked to do otherwise, you are being set up for failure, because your hard work won't move the needle. As difficult as this may be, it may fall to you to raise the institutional issue, to talk with your manager or your department lead, CPO, or CEO. OKRs are a tool that can help align product with high-level market demands and company goals, and may help in this case."
2023-12-06 06:09:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7132441419281035264,"The diverse platform choice opportunities in AI right now are amazing. To retail consumers, it might look like OpenAI has a huge lead, but there are so many implementation options for B2B and startups, including the other corporate leaders you listed. Shout also to #huggingface and #kaggle open source providers, and to Google for providing Collab, a kind of amazingly great platform for sharing. #transferlearning FTW"
2011-08-26 11:58:58,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A58314-67280672,"And \"assess its,\" not \"access it's\" -- \"assess its viability.\""
