Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
The Secret to Better Decisions: Stop Hoarding Chips,"All day, we make decisions—from what to have for lunch to whether or not to shut down a product line. These decisions shape our careers and haunt our dreams.
<br><br>
It turns out that people aren’t very good at making decisions, and the main reason is simple: we hoard our chips. We overvalue things we’ve built, experiences we’ve endured and assets we’ve acquired. As a result, we get stuck. Too many dead ends and too many regrets.
<br><br>
The promise of this course is simple: You and your coworkers will finally be able understand why we get stuck and what to do about it. With engaging stories and a new way to talk about the issue, Seth Godin helps you see how to stop being manipulated and start leading instead.",Course,2021-11-22 16:35 UTC,N/A,false,N/A,
"Diversity, Inclusion, and Belonging","<p>Diversity is having a culture that values uniqueness: people of different backgrounds, cultures, genders, and races. Inclusion means inviting diverse groups to take part in company life. If you're tuned into conversations about HR, you've probably heard these terms before. But there's a third critical piece: belonging. It's belonging that makes each individual feel accepted for who they are. Explore the diversity, inclusion, and belonging (DIB) approach, and discover how to activate it in your organization. Join HR luminary Pat Wadors as she explains how to drive the conversation on DIBs, hire and retain diverse talent, listen to employees, and integrate DIBs into your employee lifecycle. Managers and executives should tune in for special tips on embedding DIBs in the employee experience.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2021-03-22 02:47 UTC,N/A,false,N/A,
Become a Chief of Staff,"The chief of staff role has moved beyond politics and into corporations of all sizes. Brian Rumao has been the chief of staff to the CEO of LinkedIn, Jeff Weiner, for the last five years and in this course he shares his advice and experiences with you. Learn the common responsibilities and characteristics of a great chief of staff, how to get hired, and how to get off to a strong start. Discover best practices for managing operations, strategic initiatives, and leadership communications. Plus, get tips to make you more successful as you help the CEO, executive team, and company be more productive and effective. These lessons provide a launchpad for anyone who wants to become a chief of staff and succeed in this fast-growing, unique, and rewarding position.",Course,2021-11-22 16:35 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2023-09-07 16:36 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-02-19 15:02 UTC,N/A,false,N/A,
AI in Connected Products (AIOT),"<p><b>Projects</b></p>
<ul>
<li>Use Teachable Machine, a no-code AI tool, to build a computer vision model that can pinpoint tire defects by classifying images of tires as either good or bad.</li> 
<li>Use Akkio, a no-code AI tool, to build a machine learning model that helps you understand customer churn.</li> 
<li>Build an intelligent chatbot to talk to IoT.</li>
</ul>

<p>The convergence of artificial intelligence and the Internet of Things is having a profound effect on all industries and walks of life. In this course, Sudha Jamthe discusses how AI and IoT have transformed job roles and businesses, and shows you how to build AI from IoT data using zero code. Along the way, Sudha provides a series of challenges and solutions, demos, and hands-on videos so you can see the lessons in action.</p>",Course,2025-07-14 20:07 UTC,N/A,false,N/A,
