Challenge Date,IP Address,User Agent,Country,Challenge Type
Fri Aug 16 09:41:20 UTC 2024,2607:fb91:3022:9b:cfd:7231:f31d:9dd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 09:41:44 UTC 2024,2607:fb91:3022:9b:cfd:7231:f31d:9dd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 14:48:04 UTC 2024,2607:fb91:3022:9b:818d:9f6b:7cc4:48d5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Fri Aug 16 14:48:04 UTC 2024,2607:fb91:3022:9b:818d:9f6b:7cc4:48d5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Fri Aug 16 14:50:28 UTC 2024,2607:fb91:3022:9b:818d:9f6b:7cc4:48d5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Fri Aug 16 14:50:33 UTC 2024,2607:fb91:3022:9b:818d:9f6b:7cc4:48d5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 14:50:33 UTC 2024,2607:fb91:3022:9b:818d:9f6b:7cc4:48d5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 14:51:28 UTC 2024,2607:fb91:2526:cb2b:b96e:975b:7cc8:d32e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 14:54:26 UTC 2024,2607:fb91:2526:cb2b:b96e:975b:7cc8:d32e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 14:54:26 UTC 2024,2607:fb91:2526:cb2b:b96e:975b:7cc8:d32e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 14:54:48 UTC 2024,2607:fb91:2526:cb2b:b96e:975b:7cc8:d32e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 15:00:31 UTC 2024,2603:7000:873d:f15c:6875:37c6:b153:85c5,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36",United States,ID_VERIFICATION_CHALLENGE
Fri Aug 16 15:00:31 UTC 2024,2603:7000:873d:f15c:6875:37c6:b153:85c5,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36",United States,ID_VERIFICATION_CHALLENGE
Fri Aug 16 15:14:51 UTC 2024,66.249.83.4,"Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",United States,ID_VERIFICATION_CHALLENGE
Fri Aug 16 15:14:51 UTC 2024,66.249.83.4,"Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",United States,ID_VERIFICATION_CHALLENGE
Fri Aug 16 15:14:51 UTC 2024,66.249.83.3,"Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",United States,ID_VERIFICATION_CHALLENGE
Fri Aug 16 15:14:51 UTC 2024,66.249.83.3,"Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",United States,ID_VERIFICATION_CHALLENGE
Fri Aug 16 15:14:51 UTC 2024,66.249.83.3,"Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",United States,ID_VERIFICATION_CHALLENGE
Fri Aug 16 15:14:51 UTC 2024,66.249.83.3,"Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",United States,ID_VERIFICATION_CHALLENGE
Fri Aug 16 15:44:52 UTC 2024,2603:7000:873d:f15c:64b7:f003:10f5:9643,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Fri Aug 16 15:44:52 UTC 2024,2603:7000:873d:f15c:64b7:f003:10f5:9643,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Fri Aug 16 15:45:36 UTC 2024,2603:7000:873d:f15c:64b7:f003:10f5:9643,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Tue Aug 20 15:11:56 UTC 2024,24.61.99.217,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Tue Aug 20 15:12:05 UTC 2024,2601:194:837f:da40:38ca:1d85:18e7:9f1e,"Mozilla/5.0 (Linux; Android 14; Pixel 6 Pro Build/AP2A.240805.005.F1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36 com.linkedin.android/188002 [LinkedInApp]/1.50.64",United States,SSP_BLOCKING_CHALLENGE
Tue Aug 20 15:12:11 UTC 2024,2601:194:837f:da40:38ca:1d85:18e7:9f1e,"Mozilla/5.0 (Linux; Android 14; Pixel 6 Pro Build/AP2A.240805.005.F1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36 com.linkedin.android/188002 [LinkedInApp]/1.50.64",United States,LINKEDIN_APP_CHALLENGE
Tue Aug 20 15:12:14 UTC 2024,24.61.99.217,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Tue Aug 20 15:12:25 UTC 2024,24.61.99.217,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Tue Aug 20 15:12:25 UTC 2024,2601:194:837f:da40:38ca:1d85:18e7:9f1e,"Mozilla/5.0 (Linux; Android 14; Pixel 6 Pro Build/AP2A.240805.005.F1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36 com.linkedin.android/188002 [LinkedInApp]/1.50.64",United States,SSP_BLOCKING_CHALLENGE
Tue Aug 20 15:12:34 UTC 2024,2601:194:837f:da40:38ca:1d85:18e7:9f1e,"Mozilla/5.0 (Linux; Android 14; Pixel 6 Pro Build/AP2A.240805.005.F1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36 com.linkedin.android/188002 [LinkedInApp]/1.50.64",United States,LINKEDIN_APP_CHALLENGE
Tue Aug 20 15:12:34 UTC 2024,24.61.99.217,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Tue Aug 20 15:13:57 UTC 2024,24.61.99.217,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Tue Aug 20 15:15:23 UTC 2024,24.61.99.217,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,PIN_CHALLENGE
Tue Aug 20 15:16:08 UTC 2024,24.61.99.217,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,PIN_CHALLENGE
Sat Aug 24 01:03:00 UTC 2024,2600:4808:8054:bd00:a823:bb1e:1b2d:b33e,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.974 Google_Pixel 6 Pro:android_14,United States,TWO_STEP_VERIFICATION
Sat Aug 24 01:03:00 UTC 2024,2600:4808:8054:bd00:a823:bb1e:1b2d:b33e,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.974 Google_Pixel 6 Pro:android_14,United States,TWO_STEP_VERIFICATION
Sat Aug 24 01:03:16 UTC 2024,2600:4808:8054:bd00:a823:bb1e:1b2d:b33e,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.974 Google_Pixel 6 Pro:android_14,United States,TWO_STEP_VERIFICATION
Sat Aug 24 01:03:16 UTC 2024,2600:4808:8054:bd00:a823:bb1e:1b2d:b33e,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.974 Google_Pixel 6 Pro:android_14,United States,TWO_STEP_VERIFICATION
Sat Aug 24 01:03:23 UTC 2024,2600:4808:8054:bd00:a823:bb1e:1b2d:b33e,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.974 Google_Pixel 6 Pro:android_14,United States,TWO_STEP_VERIFICATION
Sat Aug 24 01:04:01 UTC 2024,2600:4808:8054:bd00:a823:bb1e:1b2d:b33e,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.974 Google_Pixel 6 Pro:android_14,United States,TWO_STEP_VERIFICATION
Sat Mar 01 02:27:55 UTC 2025,2600:1017:b4b9:bade:f735:aa93:61e6:98db,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.1039 Google_Pixel 8 Pro:android_14,United States,TWO_STEP_VERIFICATION
Sat Mar 01 02:27:55 UTC 2025,2600:1017:b4b9:bade:f735:aa93:61e6:98db,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.1039 Google_Pixel 8 Pro:android_14,United States,TWO_STEP_VERIFICATION
Sat Mar 01 02:28:03 UTC 2025,2600:1017:b4b9:bade:f735:aa93:61e6:98db,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.1039 Google_Pixel 8 Pro:android_14,United States,TWO_STEP_VERIFICATION
Sun Jun 29 17:01:14 UTC 2025,156.228.97.142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sun Jun 29 17:01:14 UTC 2025,156.228.97.142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sun Jun 29 17:01:24 UTC 2025,156.228.189.225,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sun Jun 29 17:01:24 UTC 2025,156.228.189.225,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Tue Jul 22 17:30:01 UTC 2025,156.233.94.158,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Tue Jul 22 17:30:01 UTC 2025,156.233.94.158,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Sat Sep 27 12:48:59 UTC 2025,24.90.117.63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Sat Sep 27 13:08:31 UTC 2025,24.90.117.63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,LINKEDIN_APP_CHALLENGE
Sat Sep 27 13:08:38 UTC 2025,24.90.117.63,"Mozilla/5.0 (Linux; Android 16; Pixel 8 Pro Build/BP3A.250905.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.155 Mobile Safari/537.36 com.linkedin.android/202800 [LinkedInApp]/2.197.122",United States,LINKEDIN_APP_CHALLENGE
Sat Sep 27 13:08:42 UTC 2025,24.90.117.63,"Mozilla/5.0 (Linux; Android 16; Pixel 8 Pro Build/BP3A.250905.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.155 Mobile Safari/537.36 com.linkedin.android/202800 [LinkedInApp]/2.197.122",United States,LINKEDIN_APP_CHALLENGE
Sat Sep 27 13:08:42 UTC 2025,24.90.117.63,"Mozilla/5.0 (Linux; Android 16; Pixel 8 Pro Build/BP3A.250905.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.155 Mobile Safari/537.36 com.linkedin.android/202800 [LinkedInApp]/2.197.122",United States,LINKEDIN_APP_CHALLENGE
Sat Sep 27 13:08:43 UTC 2025,24.90.117.63,"Mozilla/5.0 (Linux; Android 16; Pixel 8 Pro Build/BP3A.250905.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.155 Mobile Safari/537.36 com.linkedin.android/202800 [LinkedInApp]/2.197.122",United States,LINKEDIN_APP_CHALLENGE
Sat Sep 27 13:08:44 UTC 2025,24.90.117.63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,LINKEDIN_APP_CHALLENGE
Sat Sep 27 13:09:20 UTC 2025,24.90.117.63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Sat Sep 27 13:09:21 UTC 2025,24.90.117.63,"Mozilla/5.0 (Linux; Android 16; Pixel 8 Pro Build/BP3A.250905.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.155 Mobile Safari/537.36 com.linkedin.android/202800 [LinkedInApp]/2.197.122",United States,SSP_BLOCKING_CHALLENGE
Sat Sep 27 13:09:41 UTC 2025,24.90.117.63,"Mozilla/5.0 (Linux; Android 16; Pixel 8 Pro Build/BP3A.250905.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.155 Mobile Safari/537.36 com.linkedin.android/202800 [LinkedInApp]/2.197.122",United States,LINKEDIN_APP_CHALLENGE
Sat Sep 27 13:09:42 UTC 2025,24.90.117.63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
