Date,Type,Link
2024-12-18 03:45:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7272689942114230274?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7272689942114230274%2C7274893592765034496%29
2024-12-18 03:44:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7272689942114230274?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7272689942114230274%2C7274636538209021953%29
2024-12-18 03:44:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7272689942114230274?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7272689942114230274%2C7274968059130318848%29
2024-12-18 03:43:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7272689942114230274?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7272689942114230274%2C7274654234027921409%29
2024-12-18 03:42:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7272689942114230274?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7272689942114230274%2C7274510652067524609%29
2024-12-18 03:39:46,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7272689942114230274
2024-12-18 03:39:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265338281834246144
2024-12-07 12:25:23,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265554325257478144
2024-12-07 12:22:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7268689780530462721
2024-12-07 12:19:21,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7269679580318257152
2024-11-17 18:55:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7263228743563816961?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7263228743563816961%2C7263323098706264064%29
2024-11-17 18:52:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7263228743563816961
2024-08-15 13:16:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7227002868191367169
2024-07-29 18:24:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7223411605487689728
2024-07-18 14:13:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7217209686041731072
2024-06-09 13:25:57,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201275218235977729
2024-06-04 02:34:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7203575269339611136
2024-05-31 13:24:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7127687180138733568
2024-05-23 14:56:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7196926853264146433
2024-05-10 14:23:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7191774122039771138
2024-05-01 06:32:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7189406493153075201
2024-05-01 06:32:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7190727582835736576
2024-02-11 16:02:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7159219626478850048
2023-12-23 13:26:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142531315899256832
2023-11-17 14:20:31,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7126541450460180480
2023-11-08 04:53:31,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7127715039586721792
2023-09-21 14:57:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105322908364742656
2023-09-19 14:54:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107772632514588673
2023-09-13 15:16:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105571651324456960
2023-09-13 15:15:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104825981785255936
2023-09-13 15:15:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7106669280116502528
2023-09-13 15:15:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107381923504664577
2023-09-13 15:14:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7103095916940693505
2023-09-07 16:34:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105281313917542400
2023-09-06 17:01:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104841754536792064
2023-09-06 17:01:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7100230614489985025
2023-09-06 16:59:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7100541397010640898
2023-08-08 16:44:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7092181791389712384
2023-06-01 08:52:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7065012841203818496
